Year,Per.cap.lbs,Bird Eggs,Birds,Marine Fish,Freshwater/Anadromous Fish,Salmon (Oncorhynchus spp.),Marine Algae,Marine Invertebrates,Marine Mammals,Terrestrial Plants & Fungi,Terrestrial Mammals,,
1984,283.3,0.44,4.78,69.53,14.87,56.52,0.32,6.59,77.07,5.04,48.50,,
1985,269.5,0.00,2.24,45.05,4.32,70.54,0.00,9.76,70.99,5.17,61.17,,
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1987,352.6,1.02,3.13,80.77,0.22,81.61,0.00,16.72,74.59,9.33,85.18,,
1988,438.6,2.18,6.50,86.25,3.26,160.08,0.00,33.81,64.56,11.45,69.53,,
1989,181.6,0.12,0.64,21.16,0.32,94.40,0.00,0.58,25.64,4.71,33.68,,
1990,123.2,0.29,1.23,27.45,0.61,43.52,0.00,4.14,18.18,5.47,22.29,,
1991,242.1,0.30,2.42,64.41,2.97,101.55,0.06,8.40,17.35,6.14,38.49,,
1992,227.1,0.02,1.49,57.94,2.57,100.17,0.20,7.17,8.33,5.67,43.53,,
1993,188.1,0.35,1.38,43.36,1.88,73.88,0.01,8.69,21.78,7.90,28.92,,
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1997,387.6,1.57,4.54,102.62,4.50,126.89,1.24,12.49,61.16,9.08,63.46,,
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2003,312.3,0.31,2.73,72.40,1.91,129.35,0.23,6.94,50.04,6.36,42.15,,
